Distance,d,Years Before Earthquake,Diffusivity
30.664353571996084,0.1,-23.72745490981964,Minimum
30.61251185517162,0.1,-23.647294589178358,Minimum
30.560582196313877,0.1,-23.567134268537075,Minimum
30.50856414635554,0.1,-23.48697394789579,Minimum
30.456457252394355,0.1,-23.40681362725451,Minimum
30.404261057647137,0.1,-23.326653306613228,Minimum
30.351975101403074,0.1,-23.246492985971944,Minimum
30.299598918976233,0.1,-23.16633266533066,Minimum
30.247132041657434,0.1,-23.08617234468938,Minimum
30.194573996665255,0.1,-23.006012024048097,Minimum
30.141924307096374,0.1,-22.925851703406813,Minimum
30.08918249187507,0.1,-22.845691382765533,Minimum
30.036348065701915,0.1,-22.76553106212425,Minimum
29.983420539001692,0.1,-22.685370741482966,Minimum
29.930399417870497,0.1,-22.605210420841683,Minimum
29.8772842040219,0.1,-22.525050100200403,Minimum
29.824074394732353,0.1,-22.44488977955912,Minimum
29.770769482785692,0.1,-22.364729458917836,Minimum
29.71736895641668,0.1,-22.284569138276552,Minimum
29.663872299253715,0.1,-22.204408817635272,Minimum
29.61027899026055,0.1,-22.12424849699399,Minimum
29.556588503677133,0.1,-22.044088176352705,Minimum
29.50280030895937,0.1,-21.963927855711425,Minimum
29.448913870718,0.1,-21.88376753507014,Minimum
29.394928648656396,0.1,-21.803607214428858,Minimum
29.340844097507397,0.1,-21.723446893787575,Minimum
29.286659666968994,0.1,-21.643286573146295,Minimum
29.23237480163906,0.1,-21.56312625250501,Minimum
29.177988940948897,0.1,-21.482965931863728,Minimum
29.123501519095704,0.1,-21.402805611222444,Minimum
29.068911964973914,0.1,-21.322645290581164,Minimum
29.01421970210534,0.1,-21.24248496993988,Minimum
28.95942414856814,0.1,-21.162324649298597,Minimum
28.904524716924602,0.1,-21.082164328657317,Minimum
28.849520814147663,0.1,-21.002004008016034,Minimum
28.794411841546147,0.1,-20.92184368737475,Minimum
28.739197194688767,0.1,-20.841683366733466,Minimum
28.683876263326763,0.1,-20.761523046092186,Minimum
28.62844843131521,0.1,-20.681362725450903,Minimum
28.57291307653296,0.1,-20.60120240480962,Minimum
28.517269570801158,0.1,-20.521042084168336,Minimum
28.461517279800383,0.1,-20.440881763527056,Minimum
28.405655562986215,0.1,-20.360721442885772,Minimum
